Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,VSNL,EQ,840.0,840.0,835.0,835.0,,835.0,835.0,50000,4175000000000.0,,,
1996-01-04,VSNL,EQ,835.0,843.0,843.0,820.0,,842.9,842.89,20100,1694200000000.0,,,
1996-01-19,VSNL,EQ,842.9,847.0,847.0,847.0,,847.0,847.0,25000,2117500000000.0,,,
1996-01-22,VSNL,EQ,847.0,857.0,857.0,854.0,,854.0,855.75,12000,1026900000000.0,,,
1996-01-25,VSNL,EQ,854.0,845.0,870.0,845.0,,870.0,861.67,1500,129250000000.0,,,
1996-01-30,VSNL,EQ,870.0,877.5,877.5,877.5,,877.5,877.5,35000,3071250000000.0,,,
1996-02-02,VSNL,EQ,877.5,915.0,915.0,915.0,,915.0,915.0,5000,457500000000.0,,,
1996-02-05,VSNL,EQ,915.0,925.0,925.0,925.0,,925.0,925.0,2600,240500000000.0,,,
1996-02-06,VSNL,EQ,925.0,910.0,940.0,910.0,,940.0,939.06,60100,5643750000000.0,,,
1996-02-13,VSNL,EQ,940.0,941.0,1020.0,941.0,,1020.0,980.5,200,19610000000.0,,,
1996-02-14,VSNL,EQ,1020.0,1025.0,1060.0,1025.0,,1060.0,1059.88,30100,3190250000000.0,,,
1996-02-19,VSNL,EQ,1060.0,1048.0,1048.0,1048.0,,1048.0,1048.0,100,10480000000.0,,,
1996-02-22,VSNL,EQ,1048.0,1050.0,1050.0,1000.0,,1000.0,1049.5,10100,1060000000000.0,,,
1996-02-26,VSNL,EQ,1000.0,1048.0,1048.0,1048.0,,1048.0,1048.0,100,10480000000.0,,,
1996-02-28,VSNL,EQ,1048.0,1058.0,1058.0,1058.0,,1058.0,1058.0,10000,1058000000000.0,,,
1996-03-01,VSNL,EQ,1058.0,1050.0,1070.0,1050.0,,1070.0,1060.0,200,21200000000.0,,,
1996-03-07,VSNL,EQ,1070.0,1050.0,1050.0,1050.0,,1050.0,1050.0,2100,220500000000.0,,,
1996-03-08,VSNL,EQ,1050.0,1063.0,1065.0,1063.0,,1065.0,1064.33,30000,3193000000000.0,,,
1996-03-11,VSNL,EQ,1065.0,1010.0,1010.0,1010.0,,1010.0,1010.0,100,10100000000.0,,,
1996-03-12,VSNL,EQ,1010.0,1013.0,1013.0,1013.0,,1013.0,1013.0,100,10130000000.0,,,
1996-03-21,VSNL,EQ,1013.0,1055.0,1055.0,1055.0,,1055.0,1055.0,29700,3133350000000.0,,,
1996-03-22,VSNL,EQ,1055.0,1055.0,1055.0,1053.0,,1053.0,1054.09,55000,5797500000000.0,,,
1996-03-25,VSNL,EQ,1053.0,1000.0,1000.0,1000.0,,1000.0,1000.0,100,10000000000.0,,,
1996-03-26,VSNL,EQ,1000.0,1000.0,1000.0,1000.0,,1000.0,1000.0,100,10000000000.0,,,
1996-03-27,VSNL,EQ,1000.0,1065.0,1065.0,1065.0,,1065.0,1065.0,52800,5623200000000.0,,,
1996-03-28,VSNL,EQ,1065.0,1100.0,1214.95,1100.0,,1213.35,1142.08,23400,2672469500000.0,,,
